BufferA.Adc1Ch0[0], 0x8800,
BufferA.Adc1Ch0[1], 0xE040,
BufferA.Adc1Ch0[2], 0xA5C0,
BufferA.Adc1Ch0[3], 0x5D00,
BufferA.Adc1Ch0[4], 0x0940,
BufferA.Adc1Ch0[5], 0x9980,
BufferA.Adc1Ch0[6], 0x4440,
BufferA.Adc1Ch0[7], 0xDD40,
BufferA.Adc1Ch0[8], 0x9CC0,
BufferA.Adc1Ch0[9], 0x84C0,
BufferA.Adc1Ch0[10], 0x8080,
BufferA.Adc1Ch0[11], 0x9040,
BufferA.Adc1Ch0[12], 0xC980,
BufferA.Adc1Ch0[13], 0x1240,
BufferA.Adc1Ch0[14], 0x6600,
BufferA.Adc1Ch0[15], 0xD5C0,
BufferA.Adc1Ch0[16], 0x4480,
BufferA.Adc1Ch0[17], 0x9200,
BufferA.Adc1Ch0[18], 0xD400,
BufferA.Adc1Ch0[19], 0x8240,
BufferA.Adc1Ch0[20], 0x8800,
BufferA.Adc1Ch0[21], 0xE000,
BufferA.Adc1Ch0[22], 0xA540,
BufferA.Adc1Ch0[23], 0x5C80,
BufferA.Adc1Ch0[24], 0x08C0,
BufferA.Adc1Ch0[25], 0x9900,
BufferA.Adc1Ch0[26], 0x4240,
BufferA.Adc1Ch0[27], 0xDCC0,
BufferA.Adc1Ch0[28], 0x9C40,
BufferA.Adc1Ch0[29], 0x8480,
BufferA.Adc1Ch0[30], 0x8080,
BufferA.Adc1Ch0[31], 0x9080,
BufferA.Adc1Ch0[32], 0xCA00,
BufferA.Adc1Ch0[33], 0x1440,
BufferA.Adc1Ch0[34], 0x8000,
BufferA.Adc1Ch0[35], 0xD800,
BufferA.Adc1Ch0[36], 0x4540,
BufferA.Adc1Ch0[37], 0x9240,
BufferA.Adc1Ch0[38], 0xD440,
BufferA.Adc1Ch0[39], 0x8400,
BufferA.Adc1Ch0[40], 0x8800,
BufferA.Adc1Ch0[41], 0xDE40,
BufferA.Adc1Ch0[42], 0xA4C0,
BufferA.Adc1Ch0[43], 0x5C00,
BufferA.Adc1Ch0[44], 0x0840,
