inBuffer->Adc1Ch1[5], 0xFE2E
inBuffer->Adc1Ch1[6], 0x009D
inBuffer->Adc1Ch1[7], 0xFE99
inBuffer->Adc1Ch1[8], 0xFBD5
inBuffer->Adc1Ch1[9], 0xF9D3
inBuffer->Adc1Ch1[10], 0xF872
inBuffer->Adc1Ch1[11], 0xF87D
inBuffer->Adc1Ch1[12], 0xFC62
inBuffer->Adc1Ch1[13], 0x0365
inBuffer->Adc1Ch1[14], 0xF328
inBuffer->Adc1Ch1[15], 0x0008
inBuffer->Adc1Ch1[16], 0x0C99
inBuffer->Adc1Ch1[17], 0xF000
inBuffer->Adc1Ch1[18], 0xF95E
inBuffer->Adc1Ch1[19], 0xE6ED
inBuffer->Adc1Ch1[20], 0xE446
inBuffer->Adc1Ch1[21], 0xF634
inBuffer->Adc1Ch1[22], 0xE464
inBuffer->Adc1Ch1[23], 0x1647
inBuffer->Adc1Ch1[24], 0xF570
inBuffer->Adc1Ch1[25], 0xD714
inBuffer->Adc1Ch1[26], 0x095A
inBuffer->Adc1Ch1[27], 0xEDAF
inBuffer->Adc1Ch1[28], 0xD3F6
inBuffer->Adc1Ch1[29], 0xC938
inBuffer->Adc1Ch1[30], 0xC673
inBuffer->Adc1Ch1[31], 0xCE2C
inBuffer->Adc1Ch1[32], 0xEADE
inBuffer->Adc1Ch1[33], 0x131D
inBuffer->Adc1Ch1[34], 0xC256
inBuffer->Adc1Ch1[35], 0x0094
inBuffer->Adc1Ch1[36], 0x3386
inBuffer->Adc1Ch1[37], 0xC3FC
inBuffer->Adc1Ch1[38], 0xE8D9
inBuffer->Adc1Ch1[39], 0xAD96
inBuffer->Adc1Ch1[40], 0xA9EA
inBuffer->Adc1Ch1[41], 0xE32A
inBuffer->Adc1Ch1[42], 0xB31E
inBuffer->Adc1Ch1[43], 0x3A13
inBuffer->Adc1Ch1[44], 0xE51F
inBuffer->Adc1Ch1[45], 0x9D9E
inBuffer->Adc1Ch1[46], 0x1503
inBuffer->Adc1Ch1[47], 0xD790
inBuffer->Adc1Ch1[48], 0xA19C
inBuffer->Adc1Ch1[49], 0x90A6
inBuffer->Adc1Ch1[50], 0x8FC3
inBuffer->Adc1Ch1[51], 0xA24F
inBuffer->Adc1Ch1[52], 0xDB27
inBuffer->Adc1Ch1[53], 0x2254
inBuffer->Adc1Ch1[54], 0x977E
inBuffer->Adc1Ch1[55], 0x016F
inBuffer->Adc1Ch1[56], 0x52D5
inBuffer->Adc1Ch1[57], 0xA331
inBuffer->Adc1Ch1[58], 0xDD66
inBuffer->Adc1Ch1[59], 0x8781
inBuffer->Adc1Ch1[60], 0x85AC
inBuffer->Adc1Ch1[61], 0xD669
inBuffer->Adc1Ch1[62], 0x9864
inBuffer->Adc1Ch1[63], 0x49FD
inBuffer->Adc1Ch1[64], 0xDD41
inBuffer->Adc1Ch1[65], 0x856B
inBuffer->Adc1Ch1[66], 0x18E8
inBuffer->Adc1Ch1[67], 0xCE60
inBuffer->Adc1Ch1[68], 0x935B
inBuffer->Adc1Ch1[69], 0x8356
inBuffer->Adc1Ch1[70], 0x8579
inBuffer->Adc1Ch1[71], 0x9C81
inBuffer->Adc1Ch1[72], 0xDA38
inBuffer->Adc1Ch1[73], 0x233B
inBuffer->Adc1Ch1[74], 0x9941
inBuffer->Adc1Ch1[75], 0x01D8
inBuffer->Adc1Ch1[76], 0x4E44
inBuffer->Adc1Ch1[77], 0xAB6E
inBuffer->Adc1Ch1[78], 0xE150
inBuffer->Adc1Ch1[79], 0x9713
inBuffer->Adc1Ch1[80], 0x982A
inBuffer->Adc1Ch1[81], 0xDD64
inBuffer->Adc1Ch1[82], 0xAAE5
inBuffer->Adc1Ch1[83], 0x39AF
inBuffer->Adc1Ch1[84], 0xE4E0
inBuffer->Adc1Ch1[85], 0xA472
inBuffer->Adc1Ch1[86], 0x11AA
inBuffer->Adc1Ch1[87], 0xDCBA
inBuffer->Adc1Ch1[88], 0xB586
inBuffer->Adc1Ch1[89], 0xAD2D
inBuffer->Adc1Ch1[90], 0xB214
inBuffer->Adc1Ch1[91], 0xC1E7
inBuffer->Adc1Ch1[92], 0xE961
inBuffer->Adc1Ch1[93], 0x14F9
inBuffer->Adc1Ch1[94], 0xC6CB
inBuffer->Adc1Ch1[95], 0x0227
inBuffer->Adc1Ch1[96], 0x2A7D
inBuffer->Adc1Ch1[97], 0xD4D6
inBuffer->Adc1Ch1[98], 0xF0FB
inBuffer->Adc1Ch1[99], 0xCE5A
inBuffer->Adc1Ch1[100], 0xD0A1
inBuffer->Adc1Ch1[101], 0xF0CE
inBuffer->Adc1Ch1[102], 0xDC4A
inBuffer->Adc1Ch1[103], 0x16D9
inBuffer->Adc1Ch1[104], 0xF58D
inBuffer->Adc1Ch1[105], 0xDEC2
inBuffer->Adc1Ch1[106], 0x05EA
inBuffer->Adc1Ch1[107], 0xF48F
inBuffer->Adc1Ch1[108], 0xE956
inBuffer->Adc1Ch1[109], 0xE866
inBuffer->Adc1Ch1[110], 0xEB56
inBuffer->Adc1Ch1[111], 0xF0C3
inBuffer->Adc1Ch1[112], 0xFAF0
inBuffer->Adc1Ch1[113], 0x0468
inBuffer->Adc1Ch1[114], 0xF54A
inBuffer->Adc1Ch1[115], 0x0068
inBuffer->Adc1Ch1[116], 0x0669
inBuffer->Adc1Ch1[117], 0xFA5D
inBuffer->Adc1Ch1[118], 0xFE52
inBuffer->Adc1Ch1[119], 0xFB4B
inBuffer->Adc1Ch1[120], 0xFC55
inBuffer->Adc1Ch1[121], 0xFF11
inBuffer->Adc1Ch1[122], 0xFE61
inBuffer->Adc1Ch1[123], 0x00B5
inBuffer->Adc1Ch1[124], 0xFFCB
inBuffer->Adc1Ch1[125], 0xFFB1
inBuffer->Adc1Ch1[126], 0x0003
inBuffer->Adc1Ch1[127], 0x0000
inBuffer->Adc1Ch2[0], 0x0000
inBuffer->Adc1Ch2[1], 0xFFF7
inBuffer->Adc1Ch2[2], 0x0040
inBuffer->Adc1Ch2[3], 0x001D
inBuffer->Adc1Ch2[4], 0xFF1C
inBuffer->Adc1Ch2[5], 0x012E
inBuffer->Adc1Ch2[6], 0xFF6C
inBuffer->Adc1Ch2[7], 0xFD34
inBuffer->Adc1Ch2[8], 0xFB5C
inBuffer->Adc1Ch2[9], 0xF9C3
inBuffer->Adc1Ch2[10], 0xF90F
inBuffer->Adc1Ch2[11], 0xFB8A
inBuffer->Adc1Ch2[12], 0x00D0
inBuffer->Adc1Ch2[13], 0x093D
inBuffer->Adc1Ch2[14], 0xFA02
inBuffer->Adc1Ch2[15], 0x0470
inBuffer->Adc1Ch2[16], 0xEE6C
inBuffer->Adc1Ch2[17], 0xF795
inBuffer->Adc1Ch2[18], 0xE866
inBuffer->Adc1Ch2[19], 0xE77D
inBuffer->Adc1Ch2[20], 0xF9B0
inBuffer->Adc1Ch2[21], 0xF156
inBuffer->Adc1Ch2[22], 0x1B24
inBuffer->Adc1Ch2[23], 0x054C
inBuffer->Adc1Ch2[24], 0xE335
inBuffer->Adc1Ch2[25], 0x19CC
inBuffer->Adc1Ch2[26], 0xF64A
inBuffer->Adc1Ch2[27], 0xDBC1
inBuffer->Adc1Ch2[28], 0xCE5A
inBuffer->Adc1Ch2[29], 0xC8AE
inBuffer->Adc1Ch2[30], 0xCB3F
inBuffer->Adc1Ch2[31], 0xE33C
inBuffer->Adc1Ch2[32], 0x0510
inBuffer->Adc1Ch2[33], 0x3160
inBuffer->Adc1Ch2[34], 0xE387
inBuffer->Adc1Ch2[35], 0x14E2
inBuffer->Adc1Ch2[36], 0xB8D6
inBuffer->Adc1Ch2[37], 0xE06C
inBuffer->Adc1Ch2[38], 0xAD03
inBuffer->Adc1Ch2[39], 0xAF46
inBuffer->Adc1Ch2[40], 0xEC71
inBuffer->Adc1Ch2[41], 0xD4ED
inBuffer->Adc1Ch2[42], 0x4AD7
inBuffer->Adc1Ch2[43], 0x0D90
inBuffer->Adc1Ch2[44], 0xB63A
inBuffer->Adc1Ch2[45], 0x3D5D
inBuffer->Adc1Ch2[46], 0xE957
inBuffer->Adc1Ch2[47], 0xAFF7
inBuffer->Adc1Ch2[48], 0x9713
inBuffer->Adc1Ch2[49], 0x8FFE
inBuffer->Adc1Ch2[50], 0x9922
inBuffer->Adc1Ch2[51], 0xCA02
inBuffer->Adc1Ch2[52], 0x0B0E
inBuffer->Adc1Ch2[53], 0x5755
inBuffer->Adc1Ch2[54], 0xD001
inBuffer->Adc1Ch2[55], 0x22E9
inBuffer->Adc1Ch2[56], 0x9030
inBuffer->Adc1Ch2[57], 0xCF48
inBuffer->Adc1Ch2[58], 0x8356
inBuffer->Adc1Ch2[59], 0x89BA
inBuffer->Adc1Ch2[60], 0xE279
inBuffer->Adc1Ch2[61], 0xC27C
inBuffer->Adc1Ch2[62], 0x641D
inBuffer->Adc1Ch2[63], 0x113F
inBuffer->Adc1Ch2[64], 0xA184
inBuffer->Adc1Ch2[65], 0x4A26
inBuffer->Adc1Ch2[66], 0xE41B
inBuffer->Adc1Ch2[67], 0xA176
inBuffer->Adc1Ch2[68], 0x8781
inBuffer->Adc1Ch2[69], 0x829A
inBuffer->Adc1Ch2[70], 0x8FF3
inBuffer->Adc1Ch2[71], 0xC6C4
inBuffer->Adc1Ch2[72], 0x0BF5
inBuffer->Adc1Ch2[73], 0x58E7
inBuffer->Adc1Ch2[74], 0xD110
inBuffer->Adc1Ch2[75], 0x2216
inBuffer->Adc1Ch2[76], 0x976C
inBuffer->Adc1Ch2[77], 0xD528
inBuffer->Adc1Ch2[78], 0x90DF
inBuffer->Adc1Ch2[79], 0x9902
inBuffer->Adc1Ch2[80], 0xE6BA
inBuffer->Adc1Ch2[81], 0xCCE9
inBuffer->Adc1Ch2[82], 0x4F12
inBuffer->Adc1Ch2[83], 0x0D25
inBuffer->Adc1Ch2[84], 0xB737
inBuffer->Adc1Ch2[85], 0x36C9
inBuffer->Adc1Ch2[86], 0xEA8D
inBuffer->Adc1Ch2[87], 0xBD4C
inBuffer->Adc1Ch2[88], 0xAD6A
inBuffer->Adc1Ch2[89], 0xACB0
inBuffer->Adc1Ch2[90], 0xB7E4
inBuffer->Adc1Ch2[91], 0xDC7E
inBuffer->Adc1Ch2[92], 0x078A
inBuffer->Adc1Ch2[93], 0x3579
inBuffer->Adc1Ch2[94], 0xE684
inBuffer->Adc1Ch2[95], 0x12FB
inBuffer->Adc1Ch2[96], 0xC8A2
inBuffer->Adc1Ch2[97], 0xEA31
inBuffer->Adc1Ch2[98], 0xC938
inBuffer->Adc1Ch2[99], 0xCF2B
inBuffer->Adc1Ch2[100], 0xF466
inBuffer->Adc1Ch2[101], 0xE985
inBuffer->Adc1Ch2[102], 0x20DB
inBuffer->Adc1Ch2[103], 0x0502
inBuffer->Adc1Ch2[104], 0xE435
inBuffer->Adc1Ch2[105], 0x13A3
inBuffer->Adc1Ch2[106], 0xF88C
inBuffer->Adc1Ch2[107], 0xEA6A
inBuffer->Adc1Ch2[108], 0xE6E0
inBuffer->Adc1Ch2[109], 0xE84E
inBuffer->Adc1Ch2[110], 0xECE0
inBuffer->Adc1Ch2[111], 0xF74E
inBuffer->Adc1Ch2[112], 0x01C6
inBuffer->Adc1Ch2[113], 0x0B25
inBuffer->Adc1Ch2[114], 0xFB41
inBuffer->Adc1Ch2[115], 0x0340
inBuffer->Adc1Ch2[116], 0xF7BB
inBuffer->Adc1Ch2[117], 0xFD27
inBuffer->Adc1Ch2[118], 0xF9D6
inBuffer->Adc1Ch2[119], 0xFB5F
inBuffer->Adc1Ch2[120], 0xFF18
inBuffer->Adc1Ch2[121], 0xFEA1
inBuffer->Adc1Ch2[122], 0x017B
inBuffer->Adc1Ch2[123], 0x0023
inBuffer->Adc1Ch2[124], 0xFF77
inBuffer->Adc1Ch2[125], 0x002D
inBuffer->Adc1Ch2[126], 0xFFFB
inBuffer->Adc1Ch2[127], 0x0000
inBuffer->Adc1Ch3[0], 0x0000
inBuffer->Adc1Ch3[1], 0xFFFC
inBuffer->Adc1Ch3[2], 0xFFDE
inBuffer->Adc1Ch3[3], 0xFF52
inBuffer->Adc1Ch3[4], 0x0041
inBuffer->Adc1Ch3[5], 0xFF16
inBuffer->Adc1Ch3[6], 0x01D9
inBuffer->Adc1Ch3[7], 0x001E
inBuffer->Adc1Ch3[8], 0xFC83
inBuffer->Adc1Ch3[9], 0xFA36
inBuffer->Adc1Ch3[10], 0xF853
inBuffer->Adc1Ch3[11], 0xF76C
inBuffer->Adc1Ch3[12], 0xF84C
inBuffer->Adc1Ch3[13], 0x0073
inBuffer->Adc1Ch3[14], 0x09D2
inBuffer->Adc1Ch3[15], 0xF836
inBuffer->Adc1Ch3[16], 0x0433
inBuffer->Adc1Ch3[17], 0xEB76
inBuffer->Adc1Ch3[18], 0xF5E4
inBuffer->Adc1Ch3[19], 0xFAAB
inBuffer->Adc1Ch3[20], 0xE510
inBuffer->Adc1Ch3[21], 0xF978
inBuffer->Adc1Ch3[22], 0xF130
inBuffer->Adc1Ch3[23], 0xDB80
inBuffer->Adc1Ch3[24], 0x07FB
inBuffer->Adc1Ch3[25], 0xEB29
inBuffer->Adc1Ch3[26], 0x1E37
inBuffer->Adc1Ch3[27], 0x00C4
inBuffer->Adc1Ch3[28], 0xDB19
inBuffer->Adc1Ch3[29], 0xCC92
inBuffer->Adc1Ch3[30], 0xC589
inBuffer->Adc1Ch3[31], 0xC6F3
inBuffer->Adc1Ch3[32], 0xDF9A
inBuffer->Adc1Ch3[33], 0x02A8
inBuffer->Adc1Ch3[34], 0x2FA3
inBuffer->Adc1Ch3[35], 0xDDEC
inBuffer->Adc1Ch3[36], 0x1160
inBuffer->Adc1Ch3[37], 0xB2DD
inBuffer->Adc1Ch3[38], 0xDC9F
inBuffer->Adc1Ch3[39], 0xEE70
inBuffer->Adc1Ch3[40], 0xAC89
inBuffer->Adc1Ch3[41], 0xECB7
inBuffer->Adc1Ch3[42], 0xD6C6
inBuffer->Adc1Ch3[43], 0x9F87
inBuffer->Adc1Ch3[44], 0x139F
inBuffer->Adc1Ch3[45], 0xCDB4
inBuffer->Adc1Ch3[46], 0x4392
inBuffer->Adc1Ch3[47], 0x0144
inBuffer->Adc1Ch3[48], 0xB1BC
inBuffer->Adc1Ch3[49], 0x9772
inBuffer->Adc1Ch3[50], 0x8DC1
inBuffer->Adc1Ch3[51], 0x94B3
inBuffer->Adc1Ch3[52], 0xC545
inBuffer->Adc1Ch3[53], 0x0523
inBuffer->Adc1Ch3[54], 0x5193
inBuffer->Adc1Ch3[55], 0xC849
inBuffer->Adc1Ch3[56], 0x1C41
inBuffer->Adc1Ch3[57], 0x88E2
inBuffer->Adc1Ch3[58], 0xCAFE
inBuffer->Adc1Ch3[59], 0xE691
inBuffer->Adc1Ch3[60], 0x8965
inBuffer->Adc1Ch3[61], 0xE55A
inBuffer->Adc1Ch3[62], 0xC814
inBuffer->Adc1Ch3[63], 0x8145
inBuffer->Adc1Ch3[64], 0x187F
inBuffer->Adc1Ch3[65], 0xC0D6
inBuffer->Adc1Ch3[66], 0x5130
inBuffer->Adc1Ch3[67], 0x00FE
inBuffer->Adc1Ch3[68], 0xA5E0
inBuffer->Adc1Ch3[69], 0x8AF2
inBuffer->Adc1Ch3[70], 0x8348
inBuffer->Adc1Ch3[71], 0x8E04
inBuffer->Adc1Ch3[72], 0xC381
inBuffer->Adc1Ch3[73], 0x05AD
inBuffer->Adc1Ch3[74], 0x526E
inBuffer->Adc1Ch3[75], 0xCC69
inBuffer->Adc1Ch3[76], 0x1AFF
inBuffer->Adc1Ch3[77], 0x9355
inBuffer->Adc1Ch3[78], 0xD268
inBuffer->Adc1Ch3[79], 0x91EA
inBuffer->Adc1Ch3[80], 0x9B53
inBuffer->Adc1Ch3[81], 0xE9C0
inBuffer->Adc1Ch3[82], 0xD186
inBuffer->Adc1Ch3[83], 0x9C22
inBuffer->Adc1Ch3[84], 0x1257
inBuffer->Adc1Ch3[85], 0xD0A5
inBuffer->Adc1Ch3[86], 0x3A65
inBuffer->Adc1Ch3[87], 0x0059
inBuffer->Adc1Ch3[88], 0xC230
inBuffer->Adc1Ch3[89], 0xB211
inBuffer->Adc1Ch3[90], 0xAF90
inBuffer->Adc1Ch3[91], 0xB8AF
inBuffer->Adc1Ch3[92], 0xDB75
inBuffer->Adc1Ch3[93], 0x0379
inBuffer->Adc1Ch3[94], 0x2F40
inBuffer->Adc1Ch3[95], 0xE3E8
inBuffer->Adc1Ch3[96], 0x0F68
inBuffer->Adc1Ch3[97], 0xC930
inBuffer->Adc1Ch3[98], 0xE9A2
inBuffer->Adc1Ch3[99], 0xCBCE
inBuffer->Adc1Ch3[100], 0xD22A
inBuffer->Adc1Ch3[101], 0xF633
inBuffer->Adc1Ch3[102], 0xEC6C
inBuffer->Adc1Ch3[103], 0xD819
inBuffer->Adc1Ch3[104], 0x0650
inBuffer->Adc1Ch3[105], 0xE7F1
inBuffer->Adc1Ch3[106], 0x13C7
inBuffer->Adc1Ch3[107], 0x000E
inBuffer->Adc1Ch3[108], 0xED21
inBuffer->Adc1Ch3[109], 0xE9CA
inBuffer->Adc1Ch3[110], 0xEAAB
inBuffer->Adc1Ch3[111], 0xEE7F
inBuffer->Adc1Ch3[112], 0xF7C0
inBuffer->Adc1Ch3[113], 0x00F3
inBuffer->Adc1Ch3[114], 0x08F1
inBuffer->Adc1Ch3[115], 0xFB4B
inBuffer->Adc1Ch3[116], 0x0259
inBuffer->Adc1Ch3[117], 0xF8D5
inBuffer->Adc1Ch3[118], 0xFD7D
inBuffer->Adc1Ch3[119], 0xFB0F
inBuffer->Adc1Ch3[120], 0xFC74
inBuffer->Adc1Ch3[121], 0xFF66
inBuffer->Adc1Ch3[122], 0xFF1C
inBuffer->Adc1Ch3[123], 0xFEC0
inBuffer->Adc1Ch3[124], 0x001E
inBuffer->Adc1Ch3[125], 0xFFC7
inBuffer->Adc1Ch3[126], 0x000C
inBuffer->Adc1Ch3[127], 0x0000
