BufferA.Adc1Ch0[0], 0x1640,,,,,,,,,,,,,
BufferA.Adc1Ch0[1], 0x27C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[2], 0x38C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[3], 0x4840,,,,,,,,,,,,,
BufferA.Adc1Ch0[4], 0x5680,,,,,,,,,,,,,
BufferA.Adc1Ch0[5], 0x6300,,,,,,,,,,,,,
BufferA.Adc1Ch0[6], 0x6D80,,,,,,,,,,,,,
BufferA.Adc1Ch0[7], 0x75C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[8], 0x7B80,,,,,,,,,,,,,
BufferA.Adc1Ch0[9], 0x7F00,,,,,,,,,,,,,
BufferA.Adc1Ch0[10], 0x7FC0,,,,,,,,,,,,,
BufferA.Adc1Ch0[11], 0x7E00,,,,,,,,,,,,,
BufferA.Adc1Ch0[12], 0x7980,,,,,,,,,,,,,
BufferA.Adc1Ch0[13], 0x72C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[14], 0x6980,,,,,,,,,,,,,
BufferA.Adc1Ch0[15], 0x5E40,,,,,,,,,,,,,
BufferA.Adc1Ch0[16], 0x5100,,,,,,,,,,,,,
BufferA.Adc1Ch0[17], 0x4240,,,,,,,,,,,,,
BufferA.Adc1Ch0[18], 0x3200,,,,,,,,,,,,,
BufferA.Adc1Ch0[19], 0x20C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[20], 0x0F00,,,,,,,,,,,,,
BufferA.Adc1Ch0[21], 0xFCC0,,,,,,,,,,,,,
BufferA.Adc1Ch0[22], 0xEAC0,,,,,,,,,,,,,
BufferA.Adc1Ch0[23], 0xD900,,,,,,,,,,,,,
BufferA.Adc1Ch0[24], 0xC840,,,,,,,,,,,,,
BufferA.Adc1Ch0[25], 0xB880,,,,,,,,,,,,,
BufferA.Adc1Ch0[26], 0xAA00,,,,,,,,,,,,,
BufferA.Adc1Ch0[27], 0x9D80,,,,,,,,,,,,,
BufferA.Adc1Ch0[28], 0x9300,,,,,,,,,,,,,
BufferA.Adc1Ch0[29], 0x8AC0,,,,,,,,,,,,,
BufferA.Adc1Ch0[30], 0x84C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[31], 0x8140,,,,,,,,,,,,,
BufferA.Adc1Ch0[32], 0x8040,,,,,,,,,,,,,
BufferA.Adc1Ch0[33], 0x8200,,,,,,,,,,,,,
BufferA.Adc1Ch0[34], 0x8640,,,,,,,,,,,,,
BufferA.Adc1Ch0[35], 0x8D00,,,,,,,,,,,,,
BufferA.Adc1Ch0[36], 0x9600,,,,,,,,,,,,,
BufferA.Adc1Ch0[37], 0xA100,,,,,,,,,,,,,
BufferA.Adc1Ch0[38], 0xAE40,,,,,,,,,,,,,
BufferA.Adc1Ch0[39], 0xBD00,,,,,,,,,,,,,
BufferA.Adc1Ch0[40], 0xCD00,,,,,,,,,,,,,
BufferA.Adc1Ch0[41], 0xDE40,,,,,,,,,,,,,
BufferA.Adc1Ch0[42], 0xF000,,,,,,,,,,,,,
BufferA.Adc1Ch0[43], 0x0240,,,,,,,,,,,,,
BufferA.Adc1Ch0[44], 0x1480,,,,,,,,,,,,,
BufferA.Adc1Ch0[45], 0x2600,,,,,,,,,,,,,
BufferA.Adc1Ch0[46], 0x3700,,,,,,,,,,,,,
BufferA.Adc1Ch0[47], 0x46C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[48], 0x5540,,,,,,,,,,,,,
BufferA.Adc1Ch0[49], 0x61C0,,,,,,,,,,,,,
BufferA.Adc1Ch0[50], 0x6C80,,,,,,,,,,,,,
BufferA.Adc1Ch0[51], 0x7500,,,,,,,,,,,,,
BufferA.Adc1Ch0[52], 0x7B00,,,,,,,,,,,,,
BufferA.Adc1Ch0[53], 0x7EC0,,,,,,,,,,,,,
BufferA.Adc1Ch0[54], 0x7FC0,,,,,,,,,,,,,
BufferA.Adc1Ch0[55], 0x7E40,,,,,,,,,,,,,
BufferA.Adc1Ch0[56], 0x7A00,,,,,,,,,,,,,
BufferA.Adc1Ch0[57], 0x7380,,,,,,,,,,,,,
BufferA.Adc1Ch0[58], 0x6A80,,,,,,,,,,,,,
BufferA.Adc1Ch0[59], 0x5F80,,,,,,,,,,,,,
